url,article_title,article_id,author,view_number,score,summary
https://www.webtoons.com/zh-hant/heartwarming/summerbreeze/list?title_no=1707,Summer Breeze,list?title_no=1707,韓景察 ,151.8萬,9.90,"《歐巴, 你不會愛上我吧》韓景察作家的夏季療癒新作！「在不熟悉的地方，再次遇見熟悉的他」，夏日微風暖暖的，讓我想起小時候的故事，這次，我們會擦肩而過，還是會重新開始？"
https://www.webtoons.com/zh-hant/city-office/qinmishu/list?title_no=1474,社長與琴秘書,list?title_no=1474,Limejeongwon / KIRTY ,447.1萬,9.43,大學畢業後成為艱辛打工仔的亞智，某天突然成為了大企業的空降秘書! 而且，她的社長居然是個超級大帥哥! 而她居然與這個社長發生一夜情?! 這到底是怎麼回事啊~?!
https://www.webtoons.com/zh-hant/local/our-bloody-vows/list?title_no=2043,血色的誓約,list?title_no=2043,Haohow ,485.6萬,9.22,曾經墜落人生谷底，後來卻受到網路作家泰德鼓勵而重新振作的熙春，某天，在快要能見到自己偶像的途中，意外邂逅了一位吸血鬼。原本以為逃過一劫的她，卻發現那位吸血鬼竟是自己的學長？？為了能夠回歸正常生活，熙春與吸血鬼的生活就此開始……
https://www.webtoons.com/zh-hant/school/mangnei/list?title_no=1624,忙內禁愛令,list?title_no=1624,GINYU ,442.2萬,9.47,「我哥哥絕對不會同意的！」「我姊姊也不會同意，好嗎？」為了保護家中備受寵愛的弟弟妹妹，哥哥姊姊的跟蹤行徑大公開！
https://www.webtoons.com/zh-hant/eastern-palace/gongzhuweimian/list?title_no=894,公主徹夜未眠,list?title_no=894,Haga ,361.3萬,9.68,中國的杜蘭朵公主擁有令人一見鍾情的美貌，但前來徵婚的對象必須要答對她出的三道謎題。只要答錯了一題，無法結成婚姻還要被斬首示眾。國家被消滅後流亡中的韃靼國王子卡拉富被杜蘭朵的美貌吸引決心挑戰...
https://www.webtoons.com/zh-hant/bl-gl/oh-my-assistant/list?title_no=1808,Oh!我的助手大人,list?title_no=1808,MILA  / AngryMonster ,363.4萬,9.84,成人漫畫家申善浩終於找到助手了！為了能仔細地畫出姿勢(?)，拜託助手擺出POSE讓他參考…善浩到底會和這位美貌和能力兼具的助手擦出什麼樣的火花？兩人的甜蜜搞笑故事即將展開！
https://www.webtoons.com/zh-hant/romance/detide/list?title_no=2074,得體的關係,list?title_no=2074,JQCOMICS / 李鎮永 ,410.9萬,9.38,一直以來只敢偷偷放在心上的那個人意外喪妻。為他痛惜之餘，心中卻冒出小小的期待。等等！我簡直是瘋了！我已經結婚了啊…
https://www.webtoons.com/zh-hant/romance/for-the-sake-of-sita/list?title_no=351,為了西塔,list?title_no=351,Haga ,331.7萬,9.71,命運轉變的少女與曾想拯救她的男子的故事。
https://www.webtoons.com/zh-hant/city-office/gaizaojihua/list?title_no=1522,平凡女孩改造計畫,list?title_no=1522,Lee Yeon ,"3,917.6萬",9.62,從小到大顧著念書、完全不會化妝打扮的睿瑟，某天遇見了正在尋找模特兒的天才化妝師－侑成! 兩個人會擦出什麼樣的火花呢?
https://www.webtoons.com/zh-hant/school/todolist/list?title_no=1362,他和她的距離,list?title_no=1362,RYO. / FLEWing ,805萬,9.62,高個子就會受女生歡迎？那簡直就是『都市傳說』。沒有戀愛經驗的大森一樹是個身形高大的一年級生。某天，附近美術大學一位嬌小的姐姐，讓他陷入了愛河。一齣溫柔、真誠又甜膩的愛情喜劇就此上演。《喜歡上一個人，原來是這樣的感覺啊！》讓我的每一天都是…玫瑰色的！咦？是說愛情該怎麼持續下去呢？每件事都好新鮮、每個舉止都讓人心跳加速，有好多好多全新的發現。本篇將把大家都曾經歷的『愛情的第一次』，以真實故事為基礎，悠緩的描繪出來。
